"generator_posoco","generator_cea","zones_gp","Region","Zone","Node.Name","Fuel","year","month","daily.mwh.monthly.avg","daily.min.monthly.avg","daily.max.monthly.avg","daily.mwh.monthly.avg.fraction","daily.min.monthly.avg.fraction","daily.max.monthly.avg.fraction","gen._capacity_mw"
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,2,311.785714285714,0.297619047607143,8.654761905,0.129910714285714,0.00297619047607143,0.08654761905,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,3,308.387096774194,1.23655913980645,10.698924731,0.128494623655914,0.0123655913980645,0.10698924731,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,4,512.3333333,6.866666667,23.766666666,0.213472222208333,0.06866666667,0.23766666666,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,5,1239.26612896774,37.3870967747419,49.8602150541935,0.516360887069893,0.373870967747419,0.498602150541935,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,6,2476.33333333333,90.5222222223333,94.5000000003333,1,0.905222222223333,0.945000000003333,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,7,2511.72043006452,97.0967741935484,99.1612903225806,1,0.970967741935484,0.991612903225806,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,8,2550.86021506452,95.0752688170968,99.7956989248387,1,0.950752688170968,0.997956989248387,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,9,1835.33148146667,71.08888889,77.7999999996667,0.764721450611111,0.7108888889,0.777999999996667,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,10,829.139785032258,18.3010752694839,26.3978494624839,0.345474910430108,0.183010752694839,0.263978494624839,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,11,466.888888866667,3.74444444433333,11.5555555553333,0.194537037027778,0.0374444444433333,0.115555555553333,100
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,12,373.225806387097,0.645161290322581,12.4301075266774,0.15551075266129,0.00645161290322581,0.124301075266774,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,1,357.204301096774,0,1.62365591387097,0.148835125456989,0,0.0162365591387097,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,2,311.785714285714,0.297619047607143,8.654761905,0.129910714285714,0.00297619047607143,0.08654761905,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,3,308.387096774194,1.23655913980645,10.698924731,0.128494623655914,0.0123655913980645,0.10698924731,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,4,512.3333333,6.866666667,23.766666666,0.213472222208333,0.06866666667,0.23766666666,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,5,1239.26612896774,37.3870967747419,49.8602150541935,0.516360887069893,0.373870967747419,0.498602150541935,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,6,2476.33333333333,90.5222222223333,94.5000000003333,1,0.905222222223333,0.945000000003333,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,7,2511.72043006452,97.0967741935484,99.1612903225806,1,0.970967741935484,0.991612903225806,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,8,2550.86021506452,95.0752688170968,99.7956989248387,1,0.950752688170968,0.997956989248387,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,9,1835.33148146667,71.08888889,77.7999999996667,0.764721450611111,0.7108888889,0.777999999996667,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,10,829.139785032258,18.3010752694839,26.3978494624839,0.345474910430108,0.183010752694839,0.263978494624839,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,11,466.888888866667,3.74444444433333,11.5555555553333,0.194537037027778,0.0374444444433333,0.115555555553333,100
"GEN_174000_BASPA4_400_2","GEN_124402_BASPA4_400_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,12,373.225806387097,0.645161290322581,12.4301075266774,0.15551075266129,0.00645161290322581,0.124301075266774,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,1,357.204301096774,0,1.62365591387097,0.148835125456989,0,0.0162365591387097,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,2,311.785714285714,0.297619047607143,8.654761905,0.129910714285714,0.00297619047607143,0.08654761905,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,3,308.387096774194,1.23655913980645,10.698924731,0.128494623655914,0.0123655913980645,0.10698924731,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,4,512.3333333,6.866666667,23.766666666,0.213472222208333,0.06866666667,0.23766666666,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,5,1239.26612896774,37.3870967747419,49.8602150541935,0.516360887069893,0.373870967747419,0.498602150541935,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,6,2476.33333333333,90.5222222223333,94.5000000003333,1,0.905222222223333,0.945000000003333,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,7,2511.72043006452,97.0967741935484,99.1612903225806,1,0.970967741935484,0.991612903225806,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,8,2550.86021506452,95.0752688170968,99.7956989248387,1,0.950752688170968,0.997956989248387,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,9,1835.33148146667,71.08888889,77.7999999996667,0.764721450611111,0.7108888889,0.777999999996667,100
"GEN_174000_BASPA4_400_3","GEN_124402_BASPA4_400_3","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,10,829.139785032258,18.3010752694839,26.3978494624839,0.345474910430108,0.183010752694839,0.263978494624839,100
