"state","fuel","generator_cea","node","gen_capacity","voltage","region","vom","var_cost","heat_rate","fuel_price","owner_type","generator_posoco","type","zones_gp"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371119_BHANDHR_132_1","371119_BHANDHR_132",22,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331156_BHANRDHR_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371119_BHANDHR_132_2","371119_BHANDHR_132",22,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331156_BHANRDHR_132_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371155_DAUND_132_1","371155_DAUND_132",18,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331192_DAUND_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371165_VAITRAN_132_1","371165_VAITRAN_132",60,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331202_VAITRAN_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371212_VIR-HYDR_132_1","371212_VIR-HYDR_132",4.5,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331249_VIR-HYDR_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371212_VIR-HYDR_132_2","371212_VIR-HYDR_132",4.5,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331249_VIR-HYDR_132_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371215_ELDARI_132_1","371215_ELDARI_132",7.5,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331252_ELDARI_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371215_ELDARI_132_2","371215_ELDARI_132",7.5,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331252_ELDARI_132_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371215_ELDARI_132_3","371215_ELDARI_132",7.5,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331252_ELDARI_132_3","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371231_BHATGHAR_132_1","371231_BHATGHAR_132",16,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331268_BHATGHAR_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371246_MUKHED_132_1","371246_MUKHED_132",20,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331283_MUKHED_132_1","hydro","Maharashtra"
