Fuel,Generator,Transport Charge
SUBCRITICAL-COAL,GEN_174472_OBRA4_400_8,170.47
SUBCRITICAL-COAL,GEN_174472_OBRA4_400_9,170.47
SUPERCRITICAL-COAL,GEN_174565_TANDA2_400_1,133.33
SUPERCRITICAL-COAL,GEN_174565_TANDA2_400_2,133.33
SUBCRITICAL-COAL,GEN_177405_ANPARAC_765_1,126.85
SUBCRITICAL-COAL,GEN_177405_ANPARAC_765_2,126.85
SUBCRITICAL-COAL,GEN_177406_ANPARA-D_765_1,106.61
SUBCRITICAL-COAL,GEN_177406_ANPARA-D_765_2,106.61
SUPERCRITICAL-COAL,GEN_178710_LALITPUR_765_1,133.33
SUPERCRITICAL-COAL,GEN_178710_LALITPUR_765_2,133.33
SUPERCRITICAL-COAL,GEN_178710_LALITPUR_765_3,133.33
SUBCRITICAL-COAL,GEN_182219_BALLABGARH_220_1,178.76
SUBCRITICAL-COAL,GEN_182219_BALLABGARH_220_2,178.76
SUBCRITICAL-COAL,GEN_182219_BALLABGARH_220_3,178.76
CCGT-GAS,GEN_182234_AURYA2_220_G1,398.08
CCGT-GAS,GEN_182234_AURYA2_220_G2,398.08
CCGT-GAS,GEN_182234_AURYA2_220_G3,398.08
CCGT-GAS,GEN_182234_AURYA2_220_G4,398.08
CCGT-GAS,GEN_182234_AURYA2_220_S1,398.08
CCGT-GAS,GEN_182234_AURYA2_220_S2,398.08
CCGT-GAS,GEN_182236_ANTA2_220_G1,247.19
CCGT-GAS,GEN_182236_ANTA2_220_G2,247.19
CCGT-GAS,GEN_182236_ANTA2_220_G3,247.19
CCGT-GAS,GEN_182236_ANTA2_220_S1,247.19
CCGT-GAS,GEN_182238_DADRI_G2_220_G1,372.02
CCGT-GAS,GEN_182238_DADRI_G2_220_G2,372.02
CCGT-GAS,GEN_182238_DADRI_G2_220_G3,372.02
CCGT-GAS,GEN_182238_DADRI_G2_220_G4,372.02
CCGT-GAS,GEN_182238_DADRI_G2_220_S1,372.02
CCGT-GAS,GEN_182238_DADRI_G2_220_S2,372.02
SUBCRITICAL-COAL,GEN_182267_UNCHAHR2_220_1,204.59
SUBCRITICAL-COAL,GEN_182267_UNCHAHR2_220_2,204.59
SUBCRITICAL-COAL,GEN_182267_UNCHAHR2_220_3,200.22
SUBCRITICAL-COAL,GEN_182267_UNCHAHR2_220_4,200.22
SUBCRITICAL-COAL,GEN_182267_UNCHAHR2_220_5,200.22
SUBCRITICAL-COAL,GEN_182907_DADRI_TH_220_1,313.08
SUBCRITICAL-COAL,GEN_182907_DADRI_TH_220_2,313.08
