Generator,Fuel
GEN_174468_ANPARA4_400_2,SUBCRITICAL-COAL
GEN_174468_ANPARA4_400_3,SUBCRITICAL-COAL
GEN_174468_ANPARA4_400_4,SUBCRITICAL-COAL
GEN_174468_ANPARA4_400_5,SUBCRITICAL-COAL
GEN_174471_ROSA-TP2_400_3,SUBCRITICAL-COAL
GEN_174471_ROSA-TP2_400_4,SUBCRITICAL-COAL
GEN_174472_OBRA4_400_5,SUBCRITICAL-COAL
GEN_174472_OBRA4_400_6,SUBCRITICAL-COAL
GEN_174472_OBRA4_400_7,SUBCRITICAL-COAL
GEN_174472_OBRA4_400_8,SUBCRITICAL-COAL
GEN_174472_OBRA4_400_9,SUBCRITICAL-COAL
GEN_174565_TANDA2_400_1,SUPERCRITICAL-COAL
GEN_174565_TANDA2_400_2,SUPERCRITICAL-COAL
GEN_177405_ANPARAC_765_1,SUBCRITICAL-COAL
GEN_177405_ANPARAC_765_2,SUBCRITICAL-COAL
GEN_177406_ANPARA-D_765_1,SUBCRITICAL-COAL
GEN_177406_ANPARA-D_765_2,SUBCRITICAL-COAL
GEN_178710_LALITPUR_765_1,SUPERCRITICAL-COAL
GEN_178710_LALITPUR_765_2,SUPERCRITICAL-COAL
GEN_178710_LALITPUR_765_3,SUPERCRITICAL-COAL
GEN_181100_SEWA-II_132_1,HYDRO-PONDAGE
GEN_181100_SEWA-II_132_2,HYDRO-PONDAGE
GEN_181100_SEWA-II_132_3,HYDRO-PONDAGE
GEN_181111_MALAN-II_132_1,HYDRO-ROR
GEN_181111_MALAN-II_132_2,HYDRO-ROR
GEN_181126_GANGUWAL_132_1,HYDRO-ROR
GEN_181126_GANGUWAL_132_2,HYDRO-ROR
GEN_181126_GANGUWAL_132_3,HYDRO-ROR
GEN_181135_KOTLA_132_1,HYDRO-ROR
GEN_181135_KOTLA_132_2,HYDRO-ROR
GEN_181135_KOTLA_132_3,HYDRO-ROR
GEN_182201_BAIRASIUL2_220_1,HYDRO-ROR
GEN_182201_BAIRASIUL2_220_2,HYDRO-ROR
GEN_182201_BAIRASIUL2_220_3,HYDRO-ROR
GEN_182202_ADHYDRO_220_1,HYDRO-ROR
GEN_182202_ADHYDRO_220_2,HYDRO-ROR
GEN_182204_SORANG_400_1,HYDRO-STORAGE
GEN_182204_SORANG_400_2,HYDRO-STORAGE
GEN_182214_PONG_220_1,HYDRO-STORAGE
GEN_182214_PONG_220_2,HYDRO-STORAGE
GEN_182214_PONG_220_3,HYDRO-STORAGE
GEN_182214_PONG_220_4,HYDRO-STORAGE
GEN_182214_PONG_220_5,HYDRO-STORAGE
GEN_182214_PONG_220_6,HYDRO-STORAGE
GEN_182216_BHAKRA_L_220_3,HYDRO-STORAGE
GEN_182216_BHAKRA_L_220_4,HYDRO-STORAGE
GEN_182216_BHAKRA_L_220_5,HYDRO-STORAGE
GEN_182216_BHAKRA_L_220_6,HYDRO-STORAGE
GEN_182216_BHAKRA_L_220_7,HYDRO-STORAGE
GEN_182217_BHAKRA_R_220_1,HYDRO-STORAGE
GEN_182217_BHAKRA_R_220_2,HYDRO-STORAGE
GEN_182217_BHAKRA_R_220_3,HYDRO-STORAGE
GEN_182217_BHAKRA_R_220_4,HYDRO-STORAGE
GEN_182217_BHAKRA_R_220_5,HYDRO-STORAGE
GEN_182218_DEHAR_220_1,HYDRO-ROR
GEN_182218_DEHAR_220_2,HYDRO-ROR
GEN_182219_BALLABGARH_220_1,SUBCRITICAL-COAL
GEN_182219_BALLABGARH_220_2,SUBCRITICAL-COAL
GEN_182219_BALLABGARH_220_3,SUBCRITICAL-COAL
GEN_182227_SALAL2_220_1,HYDRO-ROR
GEN_182227_SALAL2_220_2,HYDRO-ROR
GEN_182227_SALAL2_220_3,HYDRO-ROR
GEN_182227_SALAL2_220_4,HYDRO-ROR
GEN_182227_SALAL2_220_5,HYDRO-ROR
GEN_182227_SALAL2_220_6,HYDRO-ROR
GEN_182229_TANAKPUR2_220_1,HYDRO-ROR
GEN_182229_TANAKPUR2_220_2,HYDRO-ROR
GEN_182229_TANAKPUR2_220_3,HYDRO-ROR
GEN_182234_AURYA2_220_G1,CCGT-GAS
GEN_182234_AURYA2_220_G2,CCGT-GAS
GEN_182234_AURYA2_220_G3,CCGT-GAS
GEN_182234_AURYA2_220_G4,CCGT-GAS
GEN_182234_AURYA2_220_S1,CCGT-GAS
GEN_182234_AURYA2_220_S2,CCGT-GAS
GEN_182236_ANTA2_220_G1,CCGT-GAS
GEN_182236_ANTA2_220_G2,CCGT-GAS
GEN_182236_ANTA2_220_G3,CCGT-GAS
