Line,Node From,Node To,Type,Voltage.From,Voltage.To,Max Flow,Min Flow,ratingA,ratingB,ratingC,Resistance,Reactance,Status,Length,Units
154023_154054_1_CKT,154023_MAU4_400,154054_BAL74-PG_400,AC,400,400,518,-518,518,1093,1202.3,0.00017,0.00189,1,NA,1
154023_154054_2_CKT,154023_MAU4_400,154054_BAL74-PG_400,AC,400,400,518,-518,518,1093,1202.3,0.00017,0.00189,1,NA,1
154024_154028_1_CKT,154024_MEERUT_400,154028_BAREFSC1_400,AC,400,400,517,-517,517,1093,1202.3,0.0046,0.0517,1,NA,1
154024_154029_1_CKT,154024_MEERUT_400,154029_BAREFSC2_400,AC,400,400,517,-517,517,1093,1202.3,0.0046,0.0517,1,NA,1
154024_154051_1_CKT,154024_MEERUT_400,154051_MEERTFS1_400,AC,400,400,517,-517,517,1093,1202.3,0,-0.01518,1,NA,1
154024_154052_1_CKT,154024_MEERUT_400,154052_MEERTFS2_400,AC,400,400,517,-517,517,1093,1202.3,0,-0.01518,1,NA,1
154025_154028_1_CKT,154025_BAREL-PG_400,154028_BAREFSC1_400,AC,400,400,517,-517,517,1093,1202.3,0,-0.01551,1,NA,1
154025_154029_1_CKT,154025_BAREL-PG_400,154029_BAREFSC2_400,AC,400,400,517,-517,517,1093,1202.3,0,-0.01551,1,NA,1
154025_154040_1_CKT,154025_BAREL-PG_400,154040_LUCK4-PG_400,AC,400,400,517,-517,517,874,937.2,0.00476,0.05302,1,NA,1
154025_154043_1_CKT,154025_BAREL-PG_400,154043_LUCK74-P_400,AC,400,400,600,-600,600,874,937.2,0.0018,0.04491,1,NA,1
154025_154050_1_CKT,154025_BAREL-PG_400,154050_SHAHJ-PG_400,AC,400,400,517,-517,517,874,937.2,0.0022,0.0243,1,NA,1
154025_154050_2_CKT,154025_BAREL-PG_400,154050_SHAHJ-PG_400,AC,400,400,517,-517,517,874,937.2,0.0022,0.0243,1,NA,1
154025_154055_1_CKT,154025_BAREL-PG_400,154055_BARELI74_400,AC,400,400,870,-870,0,0,0,1e-05,0.00024,1,NA,1
154025_154055_2_CKT,154025_BAREL-PG_400,154055_BARELI74_400,AC,400,400,870,-870,0,0,0,1e-05,0.00024,1,NA,1
