gen_capacity,generator,type,var_cost
660.0,COAL-NEW-554,coal,2553.0
660.0,COAL-NEW-555,coal,2554.0
660.0,COAL-NEW-556,coal,2555.0
660.0,COAL-NEW-557,coal,2556.0
660.0,COAL-NEW-558,coal,2557.0
660.0,COAL-NEW-559,coal,2558.0
660.0,COAL-NEW-560,coal,2559.0
660.0,COAL-NEW-561,coal,2560.0
660.0,COAL-NEW-562,coal,2561.0
660.0,COAL-NEW-563,coal,2562.0
660.0,COAL-NEW-564,coal,2563.0
660.0,COAL-NEW-565,coal,2564.0
660.0,COAL-NEW-566,coal,2565.0
660.0,COAL-NEW-567,coal,2566.0
660.0,COAL-NEW-568,coal,2567.0
660.0,COAL-NEW-569,coal,2568.0
660.0,COAL-NEW-570,coal,2569.0
660.0,COAL-NEW-571,coal,2570.0
660.0,COAL-NEW-572,coal,2571.0
660.0,COAL-NEW-573,coal,2572.0
660.0,COAL-NEW-574,coal,2573.0
660.0,COAL-NEW-575,coal,2574.0
660.0,COAL-NEW-576,coal,2575.0
660.0,COAL-NEW-577,coal,2576.0
660.0,COAL-NEW-578,coal,2577.0
660.0,COAL-NEW-579,coal,2578.0
660.0,COAL-NEW-580,coal,2579.0
660.0,COAL-NEW-581,coal,2580.0
660.0,COAL-NEW-582,coal,2581.0
660.0,COAL-NEW-583,coal,2582.0
660.0,COAL-NEW-584,coal,2583.0
660.0,COAL-NEW-585,coal,2584.0
660.0,COAL-NEW-586,coal,2585.0
660.0,COAL-NEW-587,coal,2586.0
660.0,COAL-NEW-588,coal,2587.0
660.0,COAL-NEW-589,coal,2588.0
660.0,COAL-NEW-590,coal,2589.0
660.0,COAL-NEW-591,coal,2590.0
660.0,COAL-NEW-592,coal,2591.0
660.0,COAL-NEW-593,coal,2592.0
660.0,COAL-NEW-594,coal,2593.0
660.0,COAL-NEW-595,coal,2594.0
660.0,COAL-NEW-596,coal,2595.0
660.0,COAL-NEW-597,coal,2596.0
660.0,COAL-NEW-598,coal,2597.0
660.0,COAL-NEW-599,coal,2598.0
660.0,COAL-NEW-600,coal,2599.0
660.0,COAL-NEW-601,coal,2600.0
660.0,COAL-NEW-602,coal,2601.0
660.0,COAL-NEW-603,coal,2602.0
660.0,COAL-NEW-604,coal,2603.0
660.0,COAL-NEW-605,coal,2604.0
660.0,COAL-NEW-606,coal,2605.0
660.0,COAL-NEW-607,coal,2606.0
