Timepoint,load,dateTime,Day
750,108441,2/1/2014 5:55,32
751,112377,2/1/2014 6:55,32
752,116130,2/1/2014 7:55,32
753,118784,2/1/2014 8:55,32
754,119893,2/1/2014 9:55,32
755,119332,2/1/2014 10:55,32
756,117935,2/1/2014 11:55,32
757,116371,2/1/2014 12:55,32
758,115040,2/1/2014 13:55,32
759,113995,2/1/2014 14:55,32
760,113750,2/1/2014 15:55,32
761,114957,2/1/2014 16:55,32
762,116603,2/1/2014 17:55,32
763,117234,2/1/2014 18:55,32
764,117079,2/1/2014 19:55,32
765,116207,2/1/2014 20:55,32
766,113703,2/1/2014 21:55,32
767,110383,2/1/2014 22:55,32
768,107675,2/1/2014 23:55,32
769,105503,2/2/2014 0:55,33
770,103825,2/2/2014 1:55,33
771,103108,2/2/2014 2:55,33
772,103383,2/2/2014 3:55,33
773,104592,2/2/2014 4:55,33
774,106931,2/2/2014 5:55,33
